type,scenarioCount,avgTotalGoals,avgHomeGoals,avgAwayGoals,drawRate,homeWinRate,awayWinRate,blowoutRate3Plus,homeDominantConversion
overall,625,7.675,3.838,3.836,0.0000,0.5002,0.4998,0.3648,0.7140
even_matchups,169,7.715,3.862,3.853,0.0000,0.5006,0.4994,0.3145,0.6013
slight_gap,256,7.673,3.837,3.836,0.0000,0.5001,0.4999,0.3699,0.7509
moderate_gap,120,7.619,3.804,3.815,0.0000,0.4981,0.5019,0.4215,0.8506
heavy_gap,20,7.652,3.825,3.828,0.0000,0.5007,0.4993,0.4668,0.9177
home_dominant,200,7.641,4.510,3.131,0.0000,0.7140,0.2860,0.3874,0.7140
away_dominant,200,7.641,3.133,4.509,0.0000,0.2865,0.7135,0.3886,
attack_led_edge,156,7.609,3.807,3.802,0.0000,0.5008,0.4992,0.3667,0.7250
defense_led_edge,156,7.722,3.862,3.860,0.0000,0.5000,0.5000,0.3739,0.7316
balanced_mismatch,72,7.529,3.758,3.770,0.0000,0.4997,0.5003,0.5006,0.8466
split_identity,72,7.766,3.880,3.886,0.0000,0.4987,0.5013,0.3230,
