linearWeight,quadraticWeight,minChance,maxChance,scale,midpoint,avgTotalGoals,closeGameDrawRate,homeDominantConversion,goalDelta,closeDrawDelta,dominantDelta,targetScore
30,70,1,37,36,19.00,7.309,0.1640,0.6883,0.041,0.0640,0.0117,0.0445
35,65,1,37,36,19.00,7.342,0.1645,0.6816,0.008,0.0645,0.0184,0.0456
40,60,1,37,36,19.00,7.373,0.1641,0.6753,0.023,0.0641,0.0247,0.0483
45,55,1,37,36,19.00,7.341,0.1650,0.6703,0.009,0.0650,0.0297,0.0499
50,50,1,37,36,19.00,7.389,0.1650,0.6659,0.039,0.0650,0.0341,0.0529
30,70,3,35,32,19.00,7.389,0.1651,0.6636,0.039,0.0651,0.0364,0.0537
55,45,1,37,36,19.00,7.358,0.1651,0.6573,0.008,0.0651,0.0427,0.0544
35,65,3,35,32,19.00,7.389,0.1650,0.6608,0.039,0.0650,0.0392,0.0547
40,60,3,35,32,19.00,7.358,0.1639,0.6489,0.008,0.0639,0.0511,0.0566
60,40,1,37,36,19.00,7.373,0.1644,0.6521,0.023,0.0644,0.0479,0.0566
30,70,0,40,40,20.00,7.773,0.1565,0.7072,0.423,0.0565,0.0072,0.0576
65,35,1,37,36,19.00,7.357,0.1637,0.6457,0.007,0.0637,0.0543,0.0576
45,55,3,35,32,19.00,7.357,0.1637,0.6457,0.007,0.0637,0.0543,0.0576
35,65,0,40,40,20.00,7.822,0.1568,0.7001,0.472,0.0568,0.0001,0.0577
30,70,2,38,36,20.00,7.709,0.1579,0.6842,0.359,0.0579,0.0158,0.0582
45,55,0,40,40,20.00,7.758,0.1570,0.6874,0.408,0.0570,0.0126,0.0590
40,60,0,40,40,20.00,7.822,0.1567,0.6932,0.472,0.0567,0.0068,0.0600
50,50,0,40,40,20.00,7.772,0.1563,0.6825,0.422,0.0563,0.0175,0.0610
70,30,1,37,36,19.00,7.372,0.1636,0.6378,0.022,0.0636,0.0622,0.0611
35,65,2,38,36,20.00,7.740,0.1577,0.6786,0.390,0.0577,0.0214,0.0616
50,50,3,35,32,19.00,7.404,0.1635,0.6393,0.054,0.0635,0.0607,0.0621
55,45,0,40,40,20.00,7.756,0.1567,0.6762,0.406,0.0567,0.0238,0.0627
60,40,0,40,40,20.00,7.740,0.1565,0.6723,0.390,0.0565,0.0277,0.0631
55,45,3,35,32,19.00,7.404,0.1636,0.6346,0.054,0.0636,0.0654,0.0638
35,65,5,33,28,19.00,7.404,0.1636,0.6346,0.054,0.0636,0.0654,0.0638
30,70,5,33,28,19.00,7.404,0.1636,0.6346,0.054,0.0636,0.0654,0.0638
60,40,3,35,32,19.00,7.372,0.1644,0.6311,0.022,0.0644,0.0689,0.0639
45,55,2,38,36,20.00,7.741,0.1561,0.6670,0.391,0.0561,0.0330,0.0647
40,60,2,38,36,20.00,7.772,0.1565,0.6716,0.422,0.0565,0.0284,0.0649
30,70,0,36,36,18.00,6.906,0.1671,0.6916,0.444,0.0671,0.0084,0.0654
75,25,1,37,36,19.00,7.388,0.1647,0.6293,0.038,0.0647,0.0707,0.0655
35,65,0,36,36,18.00,6.939,0.1670,0.6855,0.411,0.0670,0.0145,0.0659
65,35,3,35,32,19.00,7.341,0.1653,0.6239,0.009,0.0653,0.0761,0.0663
40,60,0,36,36,18.00,6.971,0.1668,0.6777,0.379,0.0668,0.0223,0.0668
40,60,5,33,28,19.00,7.405,0.1636,0.6245,0.055,0.0636,0.0755,0.0673
65,35,0,40,40,20.00,7.773,0.1567,0.6634,0.423,0.0567,0.0366,0.0680
45,55,5,33,28,19.00,7.373,0.1640,0.6173,0.023,0.0640,0.0827,0.0685
50,50,2,38,36,20.00,7.790,0.1568,0.6627,0.440,0.0568,0.0373,0.0692
50,50,0,36,36,18.00,6.986,0.1670,0.6686,0.364,0.0670,0.0314,0.0694
45,55,0,36,36,18.00,6.938,0.1667,0.6725,0.412,0.0667,0.0275,0.0702
30,70,4,36,32,20.00,7.789,0.1571,0.6596,0.439,0.0571,0.0404,0.0704
75,25,3,35,32,19.00,7.373,0.1647,0.6115,0.023,0.0647,0.0885,0.0710
70,30,3,35,32,19.00,7.373,0.1647,0.6115,0.023,0.0647,0.0885,0.0710
55,45,5,33,28,19.00,7.373,0.1647,0.6115,0.023,0.0647,0.0885,0.0710
50,50,5,33,28,19.00,7.373,0.1647,0.6115,0.023,0.0647,0.0885,0.0710
30,70,2,34,32,18.00,6.986,0.1676,0.6649,0.364,0.0676,0.0351,0.0711
70,30,0,40,40,20.00,7.790,0.1573,0.6577,0.440,0.0573,0.0423,0.0712
35,65,4,36,32,20.00,7.790,0.1573,0.6577,0.440,0.0573,0.0423,0.0712
55,45,2,38,36,20.00,7.758,0.1583,0.6539,0.408,0.0583,0.0461,0.0716
35,65,2,34,32,18.00,6.986,0.1675,0.6626,0.364,0.0675,0.0374,0.0718
60,40,2,38,36,20.00,7.774,0.1572,0.6495,0.424,0.0572,0.0505,0.0732
60,40,5,33,28,19.00,7.373,0.1642,0.6037,0.023,0.0642,0.0963,0.0734
75,25,0,40,40,20.00,7.790,0.1572,0.6509,0.440,0.0572,0.0491,0.0736
40,60,4,36,32,20.00,7.758,0.1574,0.6465,0.408,0.0574,0.0535,0.0736
30,70,1,41,40,21.00,8.174,0.1539,0.7039,0.824,0.0539,0.0039,0.0749
65,35,2,38,36,20.00,7.758,0.1578,0.6428,0.408,0.0578,0.0572,0.0751
45,55,4,36,32,20.00,7.758,0.1578,0.6428,0.408,0.0578,0.0572,0.0751
65,35,5,33,28,19.00,7.356,0.1644,0.5957,0.006,0.0644,0.1043,0.0754
55,45,0,36,36,18.00,6.954,0.1689,0.6589,0.396,0.0689,0.0411,0.0755
60,40,0,36,36,18.00,6.971,0.1683,0.6531,0.379,0.0683,0.0469,0.0763
35,65,1,41,40,21.00,8.222,0.1539,0.6984,0.872,0.0539,0.0016,0.0765
30,70,3,39,36,21.00,8.110,0.1539,0.6819,0.760,0.0539,0.0181,0.0767
40,60,2,34,32,18.00,6.955,0.1684,0.6512,0.395,0.0684,0.0488,0.0779
45,55,1,41,40,21.00,8.158,0.1537,0.6845,0.808,0.0537,0.0155,0.0780
70,30,2,38,36,20.00,7.774,0.1579,0.6348,0.424,0.0579,0.0652,0.0788
50,50,2,34,32,18.00,7.005,0.1681,0.6411,0.345,0.0681,0.0589,0.0788
50,50,4,36,32,20.00,7.806,0.1571,0.6363,0.456,0.0571,0.0637,0.0793
40,60,1,41,40,21.00,8.223,0.1544,0.6911,0.873,0.0544,0.0089,0.0794
65,35,0,36,36,18.00,6.956,0.1691,0.6472,0.394,0.0691,0.0528,0.0797
45,55,2,34,32,18.00,6.956,0.1691,0.6472,0.394,0.0691,0.0528,0.0797
60,40,4,36,32,20.00,7.774,0.1569,0.6289,0.424,0.0569,0.0711,0.0802
55,45,2,34,32,18.00,7.004,0.1684,0.6368,0.346,0.0684,0.0632,0.0804
35,65,4,32,28,18.00,7.004,0.1684,0.6368,0.346,0.0684,0.0632,0.0804
30,70,4,32,28,18.00,7.004,0.1684,0.6368,0.346,0.0684,0.0632,0.0804
50,50,1,41,40,21.00,8.174,0.1531,0.6788,0.824,0.0531,0.0212,0.0805
35,65,3,39,36,21.00,8.142,0.1541,0.6757,0.792,0.0541,0.0243,0.0805
70,30,5,33,28,19.00,7.405,0.1643,0.5875,0.055,0.0643,0.1125,0.0807
55,45,4,36,32,20.00,7.805,0.1572,0.6318,0.455,0.0572,0.0682,0.0809
35,65,6,34,28,20.00,7.805,0.1572,0.6318,0.455,0.0572,0.0682,0.0809
30,70,6,34,28,20.00,7.805,0.1572,0.6318,0.455,0.0572,0.0682,0.0809
