linearWeight,quadraticWeight,minChance,maxChance,scale,midpoint,avgTotalGoals,closeGameDrawRate,homeDominantConversion,goalDelta,closeDrawDelta,dominantDelta,targetScore
30,70,1,37,36,19.00,7.309,0.1640,0.6883,0.041,0.0640,0.0117,0.0445
35,65,1,37,36,19.00,7.342,0.1645,0.6816,0.008,0.0645,0.0184,0.0456
40,60,1,37,36,19.00,7.373,0.1641,0.6753,0.023,0.0641,0.0247,0.0483
45,55,1,37,36,19.00,7.341,0.1650,0.6703,0.009,0.0650,0.0297,0.0499
50,50,1,37,36,19.00,7.389,0.1650,0.6659,0.039,0.0650,0.0341,0.0529
30,70,3,35,32,19.00,7.389,0.1651,0.6636,0.039,0.0651,0.0364,0.0537
55,45,1,37,36,19.00,7.358,0.1651,0.6573,0.008,0.0651,0.0427,0.0544
35,65,3,35,32,19.00,7.389,0.1650,0.6608,0.039,0.0650,0.0392,0.0547
40,60,3,35,32,19.00,7.358,0.1639,0.6489,0.008,0.0639,0.0511,0.0566
60,40,1,37,36,19.00,7.373,0.1644,0.6521,0.023,0.0644,0.0479,0.0566
