formula,homeAttack,homeDefense,awayAttack,awayDefense,statGapAttack,statGapDefense,avgHomeGoals,avgAwayGoals,avgTotalGoals,homeWinRate,drawRate,awayWinRate,blowoutRate3Plus
legacy_base60,180,180,180,180,0,0,4.029,3.952,7.981,0.5160,0.0000,0.4840,0.3210
legacy_base60,180,180,180,240,0,-60,3.599,3.969,7.568,0.4345,0.0000,0.5655,0.2860
legacy_base60,180,180,180,300,0,-120,2.865,3.987,6.852,0.3155,0.0000,0.6845,0.3285
legacy_base60,180,180,180,360,0,-180,2.713,4.027,6.741,0.2740,0.0000,0.7260,0.3460
legacy_base60,180,180,180,420,0,-240,2.269,3.944,6.213,0.2060,0.0000,0.7940,0.3790
legacy_base60,180,180,240,180,-60,0,3.996,4.617,8.613,0.4115,0.0000,0.5885,0.3155
legacy_base60,180,180,240,240,-60,-60,3.535,4.609,8.145,0.3435,0.0000,0.6565,0.3755
legacy_base60,180,180,240,300,-60,-120,2.942,4.562,7.504,0.2470,0.0000,0.7530,0.4005
legacy_base60,180,180,240,360,-60,-180,2.744,4.555,7.299,0.2065,0.0000,0.7935,0.4210
legacy_base60,180,180,240,420,-60,-240,2.256,4.567,6.824,0.1440,0.0000,0.8560,0.4705
legacy_base60,180,180,300,180,-120,0,4.032,4.954,8.986,0.3500,0.0000,0.6500,0.3605
legacy_base60,180,180,300,240,-120,-60,3.542,4.961,8.503,0.2880,0.0000,0.7120,0.3800
legacy_base60,180,180,300,300,-120,-120,2.933,4.926,7.859,0.1975,0.0000,0.8025,0.4465
legacy_base60,180,180,300,360,-120,-180,2.692,4.996,7.688,0.1555,0.0000,0.8445,0.4810
legacy_base60,180,180,300,420,-120,-240,2.200,4.881,7.081,0.1155,0.0000,0.8845,0.5440
legacy_base60,180,180,360,180,-180,0,3.912,5.391,9.303,0.2795,0.0000,0.7205,0.4190
legacy_base60,180,180,360,240,-180,-60,3.551,5.349,8.901,0.2360,0.0000,0.7640,0.4315
legacy_base60,180,180,360,300,-180,-120,2.828,5.388,8.216,0.1425,0.0000,0.8575,0.5270
legacy_base60,180,180,360,360,-180,-180,2.692,5.361,8.052,0.1290,0.0000,0.8710,0.5375
legacy_base60,180,180,360,420,-180,-240,2.220,5.223,7.442,0.0840,0.0000,0.9160,0.5870
legacy_base60,180,180,420,180,-240,0,3.985,5.619,9.604,0.2730,0.0000,0.7270,0.4305
legacy_base60,180,180,420,240,-240,-60,3.578,5.631,9.209,0.2160,0.0000,0.7840,0.4665
legacy_base60,180,180,420,300,-240,-120,2.822,5.499,8.321,0.1285,0.0000,0.8715,0.5375
legacy_base60,180,180,420,360,-240,-180,2.639,5.544,8.182,0.1130,0.0000,0.8870,0.5680
legacy_base60,180,180,420,420,-240,-240,2.195,5.497,7.691,0.0765,0.0000,0.9235,0.6415
legacy_base60,180,240,180,180,0,60,3.965,3.584,7.549,0.5645,0.0000,0.4355,0.3140
legacy_base60,180,240,180,240,0,0,3.615,3.555,7.171,0.5125,0.0000,0.4875,0.3060
legacy_base60,180,240,180,300,0,-60,2.950,3.616,6.566,0.3805,0.0000,0.6195,0.2780
legacy_base60,180,240,180,360,0,-120,2.707,3.629,6.336,0.3390,0.0000,0.6610,0.2935
legacy_base60,180,240,180,420,0,-180,2.345,3.587,5.932,0.2725,0.0000,0.7275,0.3175
legacy_base60,180,240,240,180,-60,60,4.021,3.979,8.000,0.5020,0.0000,0.4980,0.3185
legacy_base60,180,240,240,240,-60,0,3.492,3.970,7.462,0.4140,0.0000,0.5860,0.3185
legacy_base60,180,240,240,300,-60,-60,2.973,3.956,6.928,0.3295,0.0000,0.6705,0.3225
legacy_base60,180,240,240,360,-60,-120,2.748,4.046,6.795,0.2780,0.0000,0.7220,0.3450
legacy_base60,180,240,240,420,-60,-180,2.275,3.937,6.212,0.2210,0.0000,0.7790,0.3805
legacy_base60,180,240,300,180,-120,60,4.019,4.587,8.605,0.4000,0.0000,0.6000,0.3575
legacy_base60,180,240,300,240,-120,0,3.488,4.638,8.126,0.3300,0.0000,0.6700,0.3815
legacy_base60,180,240,300,300,-120,-60,2.904,4.662,7.566,0.2310,0.0000,0.7690,0.4190
legacy_base60,180,240,300,360,-120,-120,2.671,4.478,7.149,0.2140,0.0000,0.7860,0.4005
legacy_base60,180,240,300,420,-120,-180,2.296,4.481,6.778,0.1505,0.0000,0.8495,0.4455
legacy_base60,180,240,360,180,-180,60,3.872,4.788,8.660,0.3540,0.0000,0.6460,0.3640
legacy_base60,180,240,360,240,-180,0,3.542,4.760,8.302,0.3165,0.0000,0.6835,0.3935
legacy_base60,180,240,360,300,-180,-60,2.969,4.827,7.796,0.2180,0.0000,0.7820,0.4290
legacy_base60,180,240,360,360,-180,-120,2.704,4.682,7.386,0.1935,0.0000,0.8065,0.4360
legacy_base60,180,240,360,420,-180,-180,2.310,4.771,7.081,0.1335,0.0000,0.8665,0.5075
legacy_base60,180,240,420,180,-240,60,3.912,5.184,9.096,0.3140,0.0000,0.6860,0.4005
legacy_base60,180,240,420,240,-240,0,3.492,5.186,8.678,0.2350,0.0000,0.7650,0.4160
legacy_base60,180,240,420,300,-240,-60,2.863,5.150,8.013,0.1645,0.0000,0.8355,0.4985
legacy_base60,180,240,420,360,-240,-120,2.651,5.054,7.705,0.1430,0.0000,0.8570,0.4980
legacy_base60,180,240,420,420,-240,-180,2.276,5.103,7.378,0.1020,0.0000,0.8980,0.5570
legacy_base60,180,300,180,180,0,120,3.979,3.009,6.988,0.6730,0.0000,0.3270,0.3325
legacy_base60,180,300,180,240,0,60,3.576,2.910,6.487,0.6290,0.0000,0.3710,0.2915
legacy_base60,180,300,180,300,0,0,2.962,3.018,5.981,0.4850,0.0000,0.5150,0.2620
legacy_base60,180,300,180,360,0,-60,2.724,3.042,5.765,0.4315,0.0000,0.5685,0.2535
legacy_base60,180,300,180,420,0,-120,2.405,2.923,5.328,0.3965,0.0000,0.6035,0.2415
legacy_base60,180,300,240,180,-60,120,3.982,3.515,7.498,0.5705,0.0000,0.4295,0.3215
legacy_base60,180,300,240,240,-60,60,3.557,3.595,7.152,0.5000,0.0000,0.5000,0.2905
legacy_base60,180,300,240,300,-60,0,2.881,3.640,6.521,0.3710,0.0000,0.6290,0.2935
legacy_base60,180,300,240,360,-60,-60,2.733,3.639,6.373,0.3440,0.0000,0.6560,0.2955
legacy_base60,180,300,240,420,-60,-120,2.317,3.548,5.864,0.2685,0.0000,0.7315,0.3065
legacy_base60,180,300,300,180,-120,120,3.982,3.998,7.981,0.5015,0.0000,0.4985,0.3150
legacy_base60,180,300,300,240,-120,60,3.575,3.935,7.511,0.4370,0.0000,0.5630,0.3095
legacy_base60,180,300,300,300,-120,0,2.948,3.969,6.917,0.3145,0.0000,0.6855,0.3215
legacy_base60,180,300,300,360,-120,-60,2.785,4.032,6.817,0.2925,0.0000,0.7075,0.3685
legacy_base60,180,300,300,420,-120,-120,2.288,3.883,6.171,0.2255,0.0000,0.7745,0.3760
legacy_base60,180,300,360,180,-180,120,4.030,4.383,8.413,0.4455,0.0000,0.5545,0.3455
legacy_base60,180,300,360,240,-180,60,3.572,4.335,7.907,0.3790,0.0000,0.6210,0.3505
legacy_base60,180,300,360,300,-180,0,2.982,4.378,7.360,0.2680,0.0000,0.7320,0.3755
legacy_base60,180,300,360,360,-180,-60,2.748,4.274,7.022,0.2515,0.0000,0.7485,0.3815
legacy_base60,180,300,360,420,-180,-120,2.256,4.331,6.587,0.1760,0.0000,0.8240,0.4470
legacy_base60,180,300,420,180,-240,120,3.961,4.732,8.693,0.3775,0.0000,0.6225,0.3480
legacy_base60,180,300,420,240,-240,60,3.493,4.806,8.299,0.2970,0.0000,0.7030,0.3950
legacy_base60,180,300,420,300,-240,0,2.882,4.817,7.700,0.2085,0.0000,0.7915,0.4400
legacy_base60,180,300,420,360,-240,-60,2.695,4.752,7.447,0.1790,0.0000,0.8210,0.4470
legacy_base60,180,300,420,420,-240,-120,2.292,4.718,7.010,0.1345,0.0000,0.8655,0.4825
legacy_base60,180,360,180,180,0,180,3.974,2.724,6.697,0.7220,0.0000,0.2780,0.3350
legacy_base60,180,360,180,240,0,120,3.580,2.736,6.316,0.6595,0.0000,0.3405,0.3050
legacy_base60,180,360,180,300,0,60,2.970,2.771,5.740,0.5335,0.0000,0.4665,0.2530
